text	emotion	language
Είσαι τρελός; Νόμιζα θα χαιρόσουν.	1	Greek
Δεν με σώπασαν αυτοί, αλλά εσύ.	1	Greek
Θέλω να σταθείς δυνατός.	1	Greek
Είναι σαν να 'μαι σε βενζινάδικο και βλέπω τα αμάξια να φεύγουν.	3, 6	Greek
Αν αρνηθεί, πρέπει να τον προσβάλεις!	1	Greek
Τι τρέχει με σένα; Τι παίζει;	1, 3	Greek
Ο πατέρας μου ήθελε να βοηθήσει.	6	Greek
Προσπάθησα να καταταγώ πάλι, αλλά μου είπαν ότι είμαι αρχαίος.	6	Greek
Είσαι ασφαλής, πίστεψε με.	8	Greek
Η Νέα Υόρκη θα ποντάρει περίπου 8 προς 5 στον Λάνσι.	2, 8	Greek
Αυτός ο γέρος, είναι ένας μάλλον διεστραμμένος τύπος.	3, 8	Greek
Παίζεις το κεφάλι σου μ' αυτό.	1, 3	Greek
Ποιο είναι το πρόβλημά σου;	1	Greek
Εσείς, είμαι τόσο ενθουσιασμένος!	2, 5	Greek
Νόμισα πως δεν θα σας ξαναδώ.	7	Greek
Η κουζίνα μου είναι πολύ δυνατή στο να ετοιμάζει τέτοια γεύματα.	8	Greek
Θα παίξω με το σκατοκέφαλό σου.	5	Greek
-Θα σε σκότωνε αν σ'άκoυγε.	1, 4	Greek
Δεν υπάρχει αμφιβολία για το φύλο σου.	2	Greek
Μόνο αυτό έχει απομείνει!	3	Greek
Που το βρηκες;	2	Greek
Ορίστε τον Άγιο Βασίλη για όλες τις εποχές!	2, 7	Greek
"Το μόνο μέρος που ανέφεραν ποτέ οι γονείς μας ήταν πέρα από την θάλασσα, ""στο εξωτερικό""."	6	Greek
Λες να μην μπορώ να χειριστώ ένα δικινητήριο στα 10.000 μέτρα; Πάνω από επίπεδη αγροτική περιοχή;  Έλα τώρα...	6	Greek
Έτσι έλεγες κι εσύ.	8	Greek
Ίσως θα έπρεπε...	1, 7	Greek
Με φοβίσατε.	1, 4, 6	Greek
Ήμουν κι εγώ κάποτε ένας άθλιος τύπος, σαν κι αυτούς που βλέπετε εκεί πέρα.	3, 6	Greek
Παλιοχέστη!	1, 3	Greek
Ναι, το ξέρω. Το ξέρω.	3, 6	Greek
Έχεις τον λόγο μου.	8	Greek
Δεν αμφιβάλλω.	2	Greek
Μπορεί ο αφέντης σου να ξέρει την απάντηση.	2, 3, 6, 7	Greek
Πρέπει να κάνεις ένα παιδί.	5	Greek
Δεν θέλω να ακούσω αυτό!	1, 3, 6, 7	Greek
- Σ 'αγαπώ.	5, 8	Greek
- Πρέπει να ξεκουραστείς.	5, 8	Greek
Πες τους να φύγουν.	1, 2	Greek
Ευχαριστώ, Ροκ.	5	Greek
Από δω και στo εξής, θα κάνεις ό,τι σoυ λέω.	1, 2	Greek
Θα το γιορτάσεις απόψε;	2	Greek
Σήμερα!	2	Greek
Μου είπε ότι όσο γρηγορότερα φύγω από το σπίτι, τόσο καλύτερα...	1, 2, 4	Greek
Έλα, μάγκα.	6, 7	Greek
Αυτό δε σχεδιάζαμε 6 μήνες στην κρεβατοκάμαρά σου;	7	Greek
Μπάρλι;	7	Greek
Οι πιλότοι βγήκαν νωρίς για ομαδικές ασκήσεις.	2	Greek
Ένα μουνί.	3	Greek
Τη βρίσκεις όμορφη τη γυναίκα μου;	2, 8	Greek
- Ο πρωταθλητής έπεσε κάτω!	7	Greek
Λατρεύω τους δειλούς.	5	Greek
Δώσε μου τα λεφτά.	1, 2	Greek
- Είσαι ψεύτης!	1	Greek
H μεγαλύτερη απειλή πoυ αντιμε- τωπίζει τo έθvoς για τηv υγεια.	4, 6	Greek
Για έλα εδώ. Ο Σκίτζο.	2, 6	Greek
Ο γέρος σου τα τίναξε, και ο αδελφός σου ο κολοσσός έλειωσε σαν κριτσίνι.	3	Greek
Τρελάθηκες;	1, 7	Greek
Λατρεύει αυτή τη Φλαμπελίνα Οκουλίνα.	5, 7	Greek
Γλυκέ μου; Μωρό μου;	5, 8	Greek
Και ειναι το σωστο ταιρι. Που το ξερεις;  Το κοιταξα.	2	Greek
Τι του είπατε για σας και την Πολέμους;	4	Greek
Κύριε Καθηγητά... Μια στιγμή.	7	Greek
Πρέπει να αποσύρουμε την υπόθεση.	6	Greek
Είστε υπεύθυνος, κύριε.	8	Greek
Θέλω την μαμά!	4, 8	Greek
Είναι φυσικό.	1, 3, 5	Greek
Πέρσι έγιναν 10 αυτοκτονίες σε μία μέρα.	6	Greek
Η δίκη για το φόνο!	1, 4	Greek
Είναι για τα δικά μου λεφτά.	2, 5	Greek
Μία δύναμη της φύσης ικανή να ζωντανέψει κάθε τι μοχθηρό;	4	Greek
Αυτό δεν είναι πολιτισμός.	1	Greek
Τι παράξενη εμφάνιση dogl	7	Greek
Ματαίωσέ το, Ράσελ.	1	Greek
Το εκτιμώ κάθε μέρα και πιο πολύ.	2, 5, 8	Greek
Μπαμπά, θέλω τη μαμά!	6	Greek
Τι λες, μικρέ;	8	Greek
Δεν συμπαθείς αυτούς τους τύπους;	1	Greek
- Μην ανησυχείς.	8	Greek
'λλο ένα λεπτό.	2	Greek
Απο την στιγμη που είμαι αφεντικό του εαυτού μου, νομίζω οτι θα με συγχωρήσω για μία φορά.	6, 8	Greek
- Kι εγώ; - Θα κάνoυμε ό,τι μπoρoύμε, κύριε.	2, 5, 8	Greek
Πυροβολήσαμε με αυτό.	5, 8	Greek
- Τι θέλεις να κάνουμε με το πτώμα;	4	Greek
Μη την αφήνεις να ουρλιάζει!	2, 5	Greek
Μη μας δίνεις εικασίες.	6, 7	Greek
Επικίνδυνος.	4	Greek
Δεν έχουμε τίποτα για σας.	6, 7	Greek
- Θέλω να τη δω.	1	Greek
- Θα πάμε παρέα.	2	Greek
Είναι φορητό, μεγάλης εμβέλειας και πολύ ακριβό.	2, 7, 8	Greek
Είπε ότι η μητέρα του έδερνε τόν πατέρα. .. καί ότι τήν βραδυά τού φόνου, έσπασε τό ραδιόφωνο καί τόν χτύπησε.	1, 3, 4, 6	Greek
Πάμε, Λίντα...	2	Greek
Πήγαμε μέχρι την καρδιά του σκάφους, ...στις μονάδες προώθησης.	4, 6	Greek
Τι είστε;	1, 7	Greek
- Ευχαριστώ, παιδιά. - Παρακαλώ.	5, 8	Greek
Ο Κιντ τον χτύπησε μια φορά, αλλά δεν έχει ανταποδώσει.	4	Greek
Σε περίπτωση που το ξέχασες, έχουμε βολές στις 8:30.	3	Greek
Να μπειτε στο μαθημα μου;	2	Greek
Πως με βρήκατε;	6, 7	Greek
Τον συνάντησα μετά.	1, 6	Greek
Θα αναρωτιέστε γιατί σας κάλεσα.	2	Greek
Τί νά σού πώ; Ότι είναι όμορφος, ψηλός, καλός, ευγενικός, περήφανος;	3	Greek
Δουλεύω με έναν τοξικομανή; -Τι;	3, 7	Greek
Κάποτε έχασα το αυτοκίνητο μου.	6	Greek
H δoλoφovια είναι η τελευταια τρoμoκρατική εvέργεια τoυ Kέιv... μετά τov βoμβαρδισμό κλιvικής, όπoυ σκoτώθηκαv 5 άτoμα.	1, 3, 4, 6	Greek
Ας μιλήσουμε για την πραγματικότητα.	2	Greek
Η κυβερνηση μου εχει ενα τρενο στο Γιουριατιν. Υπαρχει βαγονι για μενα και τους βοηθους μου.	8	Greek
Τώρα είναι εντάξει.	5	Greek
Αλλά τους άφησε κολλητούς.	5, 7	Greek
Και καθεμιά από τις αναμνήσεις που προσπαθείτε απεγνωσμένα να ανακτήσετε, μπορεί να τον μετατρέψει σε αυτό.	3, 4, 6	Greek
Τότε μια χαρά συγχρονιστήκαμε.	5	Greek
Καλό δεν ήταν;	5	Greek
Παίρνω εγκριθεί.	2, 5, 7, 8	Greek
- Ναι, ξέρω.	2, 8	Greek
Το να γυρίζεις γύρω γύρω σκοτώνοντας, δεν θα σε βγάλει πουθενά μικρέ.	1, 6, 7	Greek
Αν δεν μας πας εκεί θα σου σκοτώσω όλη την οικογένεια there, I'll kill your family.	1, 4	Greek
Έλα τώρα, γιε μου.	2, 8	Greek
Είσαι διακοπές ή...	5, 7	Greek
Κωλοπαίδι.	1	Greek
Νόμιζα ότι ήταν να πάρει παχύτεροι, μαμά!	7	Greek
Να ένα αληθινό ταξί εκεί κάτω. Σταμάτα!	5	Greek
Από τότε που κάθεσαι στην γωνία.	1	Greek
- σωστα.	2	Greek
Μπορώ να σε ρωτήσω κάτι;	2	Greek
Θα έρθω μαζί σου.	2	Greek
Είναι gonna παίρνει κάποιος να συνηθίσει, έτσι δεν είναι;	2, 4	Greek
Χάσαμε λίγο χρόνο, και ξαφνικά καθένας κοιτάει την πάρτι του;	3, 6	Greek
- Έλα εδώ πέρα!	1, 4	Greek
Δεν μπορώ.	6, 7	Greek
Μια χαρα.	5	Greek
Που τάιζε το πλήρωμά του ψάρια και σκουλήκια	5	Greek
Δεν είναι δικό μoυ!	4	Greek
Αυτό με έκανε να σκεφτώ όλους μας μαζί και πόσο ευτυχισμένοι ήμασταν κάποτε.	6	Greek
- Την είχατε.	4	Greek
Δεν είσαι φτιαγμένος για ένα τέτοιο μέρος!	1	Greek
- Χθες το βράδυ.	5	Greek
Κύριε Στάμπερ, εκτιμώ τη δουλειά που κάνεις γι' αυτόν, αλλά ξέρουμε κι οι δυο ότι ο συνασπισμός μου διευρύνεται.	3	Greek
Το νερό είναι υπέροχο.	5	Greek
Για να σου κάνω ότι μου έκανες, πριν τόσα χρόνια!	1, 3	Greek
Αγαπητέ παπιγιόν δολοφόνος, πώς είναι φυλακή;	5	Greek
Όπως δέν μπορούσα νά τό καταλάβω... καί τήν τελευταία φορά πού είδα τήν Μαρία.	6	Greek
Τώρα που το λες...	7	Greek
Με ποια έβγαινα; - Θα μπορούσα να σε ρωτήσω το ίδιο.	1, 2	Greek
Αυτή η θέση δεν ενδείκνυται για γιο πάστορα.	1, 3	Greek
- Κοίτα την δουλειά σου.	1	Greek
- Εντάξει. - Πρέπει να μείνεις Ίζαμπελ.	8	Greek
Ξέρω ποιος νομίζεις ότι είναι, αλλά δεν είμαι σίγουρη.	6, 7	Greek
Γαμήσου!	1	Greek
Όταν πέθαναν οι γονείς μας, έπρεπε να φροντίσουμε μόνοι μας τους εαυτούς μας.	1, 6, 8	Greek
Η μάνα μου;	1, 4	Greek
- Κάθε πράγμα στην ώρα του.	8	Greek
'Eξω!	1	Greek
Χριστέ μου, έχει διαλυθεί.	4, 6, 7	Greek
Μην στρέφεις την κάμερα πάνω μου.	1, 3	Greek
Φοβότανε μη χάσει τη δουλειά του.	4	Greek
Αν ο Ντάντε είναι εντάξει θα πληρωθεί καλά.	2, 5	Greek
-Εξαίσια.	5	Greek
Μα δεν ξέρω τίποτα για τη Μαρτινίκα.	2, 7	Greek
Με γυμνά χέρια.	3, 7	Greek
Ευτυχώς.	5, 7	Greek
Και σου δίνω τα εύσημα γι' αυτό.	8	Greek
Αρχηγός εγκληματικής συμμορίας.	2	Greek
Σ τη ναυαρχίδα τού είπα ότι το ημερολόγιο δεν είναι δικαιολογία κι ότι θα μας κατηγορήσουν για ανταρσία.	1, 3	Greek
Έχω να πάρω το λεωφορείο.	1	Greek
- Κουνηθείτε.	1	Greek
Υπάρχουν βρυκόλακες στα μέρη μας;	2	Greek
Μην αμφισβητείς τις αποφάσεις μου.	1, 3	Greek
- Έχεις ακριβώς τα ψιλά;	2	Greek
Χαίρομαι να μου κάνεις παρέα.	5	Greek
Κοιτάξτε ξανά.	1	Greek
Πάμε, Ροκ!	4	Greek
Θελω να σηκωθω.	1	Greek
Ο φόβος είναι ο καλύτερος φίλος του πυγμάχου.	2, 8	Greek
Θα χωθώ στο δωμάτιό τους, θ' αρπάξω τα πράγματά τους,θα τους κολλήσω το όπλο στα πρόσωπά τους.	1, 2	Greek
Πoύ είναι oι σφαίρες γι'αυτό;	1, 7	Greek
Θέλεις βοήθεια;	2, 5	Greek
Ήμουν στο σπίτι με τη μητέρα του μωρού μου!	1	Greek
Πού είναι τα λεφτά;	1	Greek
Αν μου ξαναμιλήσεις έτσι, θα φροντίσω να μην κερδίσεις ποτέ άλλες εκλογές.	3	Greek
Ξέχασε το.	1, 6	Greek
- Γιατί το εγκατέλειψαν;	7	Greek
Εσείς είστε υπεύθυνος κύριε.	8	Greek
Ναι, αυτός ήταν ένας καλός στρατιώτης.	6	Greek
'Οποιος έχει δυο γροθιές και δυνατή καρδιά μπορεί να τα καταφέρει.	2	Greek
Ήλθατε σαν εχθροί να με αφανίσετε.	6	Greek
Δεν υπάρχουν και πολλά να κάνεις εδώ.	2	Greek
Δουλεύεις σκληρά.	8	Greek
Λόγω αυτής της απόπειρας δολιοφθοράς στις φυλακές, ο Beck θα πρέπει να εξυπηρετήσει επιπλέον χρόνο.	3, 6, 7	Greek
Άντριαν, τι έκανα;	1	Greek
Ναι; Θέλεις να να μου πείς γιατί;	1	Greek
Ναι, σωστά, Λάνσι.	5, 7	Greek
- Έχει πολύ ζέστη, έτσι;	3	Greek
Κορίτσι με ποιότητα και γούστο.	5	Greek
Γιατί δεν τον συμπαθείς;	1, 3, 6	Greek
Y'all έτοιμη να πάει κατασκήνωση;	2	Greek
Μπορεί να ξεκινάει σαν σκέψη, και μετά τρέπεται σε κάτι αληθινό.	3	Greek
Και είσαι πολύ όμορφη υπό το φως των κεριών.	5	Greek
- Χαιρετισμούς από τον κ. Χέινς.	5	Greek
Από εκεί θα ξεκινήσουμε. Πάμε.	2	Greek
Χάνουμε λίγη ώρα και ξαφνικά ο καθένας για την πάρτη του;	3, 6	Greek
- Μήπως να τα συζητούσατε ιδιαιτέρως;	4	Greek
- Αυτό μειώνει τη δύναμή τους!	1	Greek
Φοβάμαι ότι αυτό δεν είναι σύμπτωση.	4	Greek
- Αν μπορώ να δω τηλεόραση.	1	Greek
Ξέχασα τι ήμουν.	7	Greek
- Ακριβώς.	5, 8	Greek
Δεν θα παραιτηθώ από συνεταίρος, μετά από αυτό που συνέβη, αν αυτό ρωτάς.	2	Greek
Δηλαδή αυτές σκότωσαν το φίλο σου;	3, 7	Greek
Πώς μπορεί να βλέπει ροζ;	1, 7	Greek
Θα τα πούμε.	1, 2	Greek
Αλλιώς, ακόμη κι αν τους αρέσει κάποτε... δεν θα γίνει ποτέ μέρος της ψυχής τους.	3	Greek
Ένσταση.	1	Greek
Φύγε από την μέση!	1, 3	Greek
Αγοράσαμε μια φάρμα στο Γούντστοκ.	5	Greek
Είσαι ψεύτης! Μην επαναλαμβάνεσαι.	1	Greek
Εκδίκηση.	8	Greek
Πέθανε προσπαθώντας να σώσει την κόρη μου.	6, 7	Greek
Είστε και οι δυο τόσο αξιαγάπητοι!	5	Greek
13 νεκροί σε μια σφαγή για λεφτά από το Nuke.	4	Greek
Η ώρα σου θα έρθει ξανά.	2	Greek
Θα σηκώσουμε τα δάχτυλά μας και 8α κάνουμε ωτο-στοπ.	5	Greek
Τα μπαλάκια που παίζει... οι κλεμμένες ατάκες.  Οι ημικρανίες ...	6	Greek
Δε θα πω τίποτα.	4	Greek
Όχι, απλά θέλω κάποιες απαντήσεις.	2	Greek
Ναι.	2, 5, 8	Greek
Δε θα σ'αφήσω.	2, 8	Greek
Εγω δεν θ' αυτοκτονουσα ετσι.	6	Greek
Μόλις τον έπιασαν τον τύπο!	7	Greek
Είμαι ικανοποιημένος μαζί σου, Χέιστινγκς.	5, 8	Greek
Κι εγώ δεν έχω φύλλο ακόμα.	1	Greek
Και συνάντησε καποιους, που έχουν κανει κράτηση στο Μάργκο.. Είναι υψηλά προτεινώμενο..	2, 5, 8	Greek
Είναι ένα όμορφο παιδί.	5	Greek
-Έλα. Κάνε μου την τιμή.	1	Greek
Απ' τη στιγμή που φόρεσα τα γάντια ήθελα να σε γνωρίσω.	2	Greek
Μπράβο, κορίτσι μου.	5, 8	Greek
- Μια χαρά φαίνεσαι.	5, 8	Greek
Ωραίος ήχος για να ξυπνάς.	5	Greek
Θα σε αφήσω μόνη για λίγο.	1, 3	Greek
Χρηστέ μου, βρωμάει!	3	Greek
Συνήθως είσαι κεντρικού τύπου κορίτσι. Όχι, απόψε.	7	Greek
Ζητουσες και δευτερη μεριδα.	1	Greek
- Τον βασιλιά θέλει.	3	Greek
Αν αποσύρετε τις κατηγορίες εναντίον της Ντόνα, θα τις αποσύρουμε και εμείς.	4, 8	Greek
Δεν τελειώσαμε ακόμα την κουβέντα!	4	Greek
Θα βυθιστεί εντός 20 έως 32 ωρών.	2, 8	Greek
Ξέρεις κάτι; Δεν θα'σουν εδώ αν δεν είχε κάνει κάτι κακό.	1, 6	Greek
Δεν τα ενέκρινε το Κόμμα.	1	Greek
Εκεί.	7	Greek
- Ήσασταν μόνη;	7	Greek
Πριν έξι μήνες ερωτεύτηκα μια απ' αυτές.	5	Greek
Διαμαρτύρεστε πολύ.	1	Greek
Δεν ενδιαφέρεται για σένα ούτε και για μένα.	6	Greek
Έχει ημικρανίες και παίζει μ' ατσαλένια μπαλάκια. Και τι μ' αυτό;	1, 3	Greek
- Άκουσε το εξής: Βρέθηκαν σκληροί δίσκοι στο φωτοτυπείο που ανήκαν στον μεσάζοντα.	7	Greek
Ρώτα τον ποια λεφτά, μαλάκα.	1	Greek
Είπαν ότι φωτογράφιζα κάποιο στρατιωτικό στόχο.	4	Greek
Έκλεψε όλες τις οικονομίες τους και έβγαλε 200 εκατομμύρια δολάρια.	1, 3	Greek
Τι είναι αυτή η μεγάλη έκπληξη που μου σέρνεται εδώ για;	1, 2	Greek
Βάλτε τον στην καμπίνα του.	1, 2	Greek
Δε γίνεται τίπoτα μ'αυτό τoν εξoπλισμό!	6	Greek
Δέν είμαι υποχρεωμένος νά αναλάβω τής δημόσιες σχέσεις σου.	1	Greek
Και σε εμπιστεύομαι.	8	Greek
Κάνω σάν νά είμαι 13 χρόνων κορίτσι.	3	Greek
Να μ' αφήσεις ήσυχη θέλω.	1, 3, 6	Greek
Χάνεις τον έλεγχο της τράπουλας αν παίζεις πολύ ώρα μέρα μπαίνει, μέρα βγαίνει.	6	Greek
Ο ΄Ιγκαν σκοτώθηκε.	6	Greek
Είναι μέσα!	2, 4	Greek
Δεν θα καταθέσω.	1	Greek
Δεν είναι αληθινό, έτσι;	4	Greek
- Παιδιά;	1	Greek
- Καταπληκτικό.	2, 5, 8	Greek
Που είναι οι αδελφός μου; Θα την ψάχνει... πιστεύω...	8	Greek
Όχι, Τζουλιέτ! Νικ.	6	Greek
Νερό!	2	Greek
Μπορεί να πάθεις τίποτα κακό.	1, 3, 4, 6	Greek
Έλα να ξεκουραστείς λίγο κορίτσι μου.	4, 6	Greek
Είσαι μεγάλος ναυτικός ήρωας.	8	Greek
Να το θυμάσαι στο μέλλον... όταν θα γυρίζεις διαφημίσεις για την τηλεόραση.	1	Greek
Ίσως να συνειδητοποιείτε ότι το κοινό... ξέρει περισσότερα από σας για δημόσιες σχέσεις.	5	Greek
Μία λαμπερή στάρ πού δέν καπνίζει κάν.	3	Greek
Είναι δυνατόν;	1, 3	Greek
- Δεν έχω ερωτήσεις.	3	Greek
Κοίτα τι βρήκα.	5	Greek
Οι ταινίες του Μπλερ κωδικοποιήθηκαν, εστάλησαν μέσω δορυφόρου στο Λονδίνο, μετά αποκωδικοποιήθηκαν εντός λεπτών.	7, 8	Greek
Θα μπουν μέσα αυτοί;	4	Greek
Κρίμα που δεν προλάβαμε τον χορό σας.	3, 6	Greek
"Θα τον μαχαίρωνα τον αρχίδα, επειδή προσπάθησε να μου κλέψει το ""πακέτο"" μου."	1, 3	Greek
Μοιάζεις να έχεις προσωπικό ενδιαφέρον.	2, 7	Greek
- Πέιτζ.	6	Greek
- Μακάρι να ήξερα, αγαπητέ μου.	2	Greek
Τό χρειαζόμουν αυτό.	5	Greek
Απλοί ναυτικοί σαν κι εμένα, ...αφανίστηκαν από αυτό το τέρας, με το οποίο προσπαθείτε να είστε φίλος.	1, 3	Greek
Αλλά είναι πολύ σκληρό να μη σε αγαπάει κανένας, έτσι;	6	Greek
Και να φροντίσεις τους δύο απατεώνες , ακριβώς το ίδιο...	1	Greek
Γδύσου, κάνε ντους, δέσε τα μάτια σου και έλα στο κρεβάτι..	2, 4, 7, 8	Greek
- Να βγάλω τις μπότες μου;	2	Greek
- Το λεωφορείο;	7	Greek
Αλλά θυμάμσαι αυτό, σωστά;	1	Greek
Όσο για φόρους, πόσα εκατομμύρια γλιτώνεις... από φοροαπαλλαγές σε ομόλογα και πετρελαιοπηγές.... που την παραγωγική τους ισχύ προστατεύει η κυβέρνησή σου... ενώ αρνείται τα ίδια προνόμια στα μυαλά αυτής της χώρας.	3	Greek
Μη κοιτάς μ' αυτό το βλέμμα.	1	Greek
Δεν πεινάμε.	2, 3, 4, 7	Greek
Ήρθε η ώρα μας..	1, 5	Greek
Δεν μιλάω γι' αυτόν.	1	Greek
Σκάσε, Σέρυλ Ανν.	1	Greek
Τι διαβάζεις, μπαμπά;	2	Greek
Γι' αυτό με ζήτησε ο ναύαρχος; Για τη γενειάδα μου;	2	Greek
Θυμάται τα πάντα.	5, 7, 8	Greek
Δεν χρειάζεται να με προστατεύεις.	8	Greek
- Δεν είναι ώρα για αστεία.	5	Greek
Δεν θα πάρετε την έγκρισή μου. Καλώς, θα απευθυνθώ στον Πέλινγκτον.	1, 3	Greek
Πάρε ρεπό.	2	Greek
Θα διαγράψετε δεκαετίες προόδου στο θέμα των αφοπλισμών.	1, 2	Greek
Γιατί την έφερες μαζί μας, τότε;	1, 6, 7	Greek
Μακρινή και χρήσιμη.	8	Greek
Όλα όσα τρώγονται είναι στο τραπέζι.	8	Greek
Έρχεστε από το πολεμικό πλοίο που μου επιτέθηκε, έτσι δεν είναι; Νομίζαμε ότι αυτό εδώ ήταν ένα τέρας και όχι ένα ανθρώπινο κατασκεύασμα.	1	Greek
Αυτό είναι ωραίο.	5	Greek
Άλλαξες.	7	Greek
Μεγάλη φασαρία.	2	Greek
- Καπετάνιε ...	4	Greek
Θα ήθελα να είχα την γνώμη σου πριν αναχωρήσουμε.	2, 8	Greek
Δεν μπορώ να το συγκρατήσω.	4	Greek
Όχι επάνω στα πρόσωπα των πνιγμένων, εκεί πέρα, μα πάνω σ' αυτά των χιλιάδων νεκρών!	4	Greek
Όχι πολύ	1	Greek
Γρήγορα, πήγαινε να φέρεις το μαχαίρι!	1, 4	Greek
Γκριμ, δεν μπορώ να πάω φυλακή.	4	Greek
- Δουλεύω τόσο καιρό με κάποιον...	7	Greek
- Junior!	6, 8	Greek
- Τι λέει;	7	Greek
- Τέλεια.	2, 5	Greek
- Το ξέρω.	5, 8	Greek
Πληθυντικός; - Όλοι μου όρμησαν.	1, 6	Greek
-Ναι, καλά!	1	Greek
-Θα μου πείτε τι συμβαίνει;	1, 2	Greek
Μία αχανής φυσική δεξαμενή μέσα στην οποία περιπλανιέμαι κατά βούληση.	5	Greek
- Καληνύχτα Ντέρκ. Καληνύχτα.  - Καληνύχτα.	5, 8	Greek
Ίσως αυτές οι ρημαδο-εκλογές επιλυθούν από μόνες τους.	1	Greek
Αυτό το πράγμα είναι φονιάς!	1	Greek
Ιδρώνει ρακί από τους πόρους του, που μπορεί να μεθύσει ολόκληρο πλήρωμα, ...αν μπορεί να καταπιεί κανείς τις απίθανες ιστορίες του.	5	Greek
Ο θανατος προηλθε απο ασφυξια.	6	Greek
Δεν μπορεις να με διαταξεις.	1	Greek
Προσπαθώ να βοηθήσω, αλλά δεν με ακούει. Και έχω και το δικό μου πένθος.	6	Greek
Η αναπαραγωγή δεν έχει πετύχει..	4	Greek
Αι γαμήσου!	1	Greek
Τι κάνεις εδώ τόσο πρωί;	7	Greek
Δεν μπορώ να παίζω τον πατέρα τώρα.	4, 6	Greek
Ο Beck, γνωστός ως ο φονιάς με το παπιγιόν, πιάστηκε το απόγεμα..	3, 6, 7	Greek
Μείνετε εκεί που είστε!	3	Greek
Εκεί έξω δε με κατάλαβες καλά.	7	Greek
Γιατί να το σηκώσω;	1	Greek
Μέχρι εδώ τα είχα.	1	Greek
- Χριστέ μου, ο βοηθός σου είναι νέος.	7	Greek
Ναι, εγώ, εγώ απλά...	4, 6, 7	Greek
- Και το διασκεδάζουν πιο πολύ. - Σίγουρα.	6	Greek
-Δεν το θέλω.	1, 3	Greek
Πες του οτι με δυσκολεψε.	1	Greek
Πόλι, βρισκόμαστε εδώ εξαιτίας σου.	5, 8	Greek
Θα σε κάνω κομμάτια.	1, 6	Greek
Τίποτε δεν είναι ποτέ καλό.	6	Greek
Θα τον αγαπάς για να κάνεις τέτοιο πράγμα γι' αυτόν.	7	Greek
Μωρή σκρόφα!	1	Greek
Για να δούμε ποιά είναι η καλύτερη.	2	Greek
Τέλειο, απίστευτο.	1, 7	Greek
- Φλωρεντία και Τζούνιορ έχουν απαχθεί.	4, 6	Greek
- Που πηγαίνει το τρένο;	4	Greek
Που είναι η μητέρα μου;	4	Greek
Μπουν, δεν θα σε αφήσω!	8	Greek
Αυτή ήταν που σου έβγαλε το διαβατήριο για να πας στις Μπαχάμες.	7	Greek
Βρήκα την διεύθυνση της Κόνστανς Μπίλιγκς, Και σήμερα πρωί πρωί πήγα να την δω.	2, 5	Greek
Οι παρατηρήσεις σας επηρεάζουν την κοινή γνώμη.	2, 8	Greek
Και δεν υπάρχει ένα καταραμενο πραγμα που μπορώ να κάνω για αυτο!	3, 6	Greek
- Είπα οτι κλείσαμε, βλάκα.	1	Greek
Έ χεις χλομιάσει λίγο.	6	Greek
- Επίσης.	8	Greek
Γαμώτο μου!	7	Greek
-Θα σας σκoτώσω!	1	Greek
